DateTime,Junction,Vehicles,ID,,traffic_flow_rate,congestion_level,vehicle_density,current_traffic_light_state,,weather_condition,temperature_celsius,number_of_lanes,road_capacity,pedestrian_count,crowdsourced_congestion_level,public_transport_status,
01/11/15 18:00,1,17,20151101181,,22.05,low,60.3,yellow,clear,16.4,1,589,0,low,0,1,
01/11/15 19:00,1,20,20151101191,,27.36,medium,61.64,yellow,fog,36.6,6,978,18,low,0,1,
01/11/15 20:00,1,17,20151101201,,50.61,medium,22.46,green,rain,3.7,3,503,30,low,1,1,
01/11/15 21:00,1,19,20151101211,,31.23,medium,11.69,green,fog,26.7,1,876,19,low,0,0,
01/11/15 22:00,1,20,20151101221,,10.13,medium,54.38,red,fog,25.6,5,374,15,high,0,1,
01/11/15 23:00,1,15,20151101231,,23.69,low,93.9,green,snow,21.1,1,192,21,medium,0,0,
02/11/15 0:00,1,14,20151102001,,12.99,medium,66.45,yellow,fog,37.8,6,214,10,medium,0,0,
02/11/15 1:00,1,12,20151102011,,33.47,low,87.88,green,clear,13.3,1,784,45,medium,0,0,
02/11/15 2:00,1,14,20151102021,,52.47,high,87.04,yellow,snow,17.8,3,937,38,high,0,0,
02/11/15 3:00,1,12,20151102031,,34.64,medium,97.49,green,rain,14.7,6,869,3,medium,1,0,
02/11/15 4:00,1,12,20151102041,,33.67,high,48.8,green,clear,25.7,4,716,21,medium,0,0,
02/11/15 5:00,1,11,20151102051,,48.56,low,89.71,red,fog,13.3,4,158,2,medium,1,1,
02/11/15 6:00,1,13,20151102061,,45.94,medium,28.21,yellow,clear,15,5,353,13,low,1,0,
02/11/15 7:00,1,14,20151102071,,14.36,medium,53.9,green,clear,1.5,1,406,6,high,0,0,
02/11/15 8:00,1,12,20151102081,,19.27,high,49.47,red,fog,36,3,486,44,low,0,0,
02/11/15 9:00,1,22,20151102091,,41.45,low,87.96,green,fog,18.7,6,532,47,medium,1,0,
02/11/15 10:00,1,32,20151102101,,47.64,medium,81.18,yellow,fog,10.4,4,628,3,high,1,1,
02/11/15 11:00,1,31,20151102111,,25.43,medium,24.94,green,rain,36.7,3,157,8,medium,1,0,
02/11/15 12:00,1,35,20151102121,,57.84,low,54.21,green,clear,13.2,4,391,25,medium,0,1,
02/11/15 13:00,1,26,20151102131,,57.52,high,92.63,red,clear,15.4,3,143,13,high,0,0,
02/11/15 14:00,1,34,20151102141,,23.92,high,29.1,red,rain,28.7,2,701,4,medium,1,0,
02/11/15 15:00,1,30,20151102151,,18.97,low,49.05,yellow,clear,19.5,5,174,4,medium,1,1,
02/11/15 16:00,1,27,20151102161,,22.05,low,60.3,yellow,clear,16.4,1,589,0,low,0,1,
02/11/15 17:00,1,27,20151102171,,27.36,medium,61.64,yellow,fog,36.6,6,978,18,low,0,1,
02/11/15 18:00,1,24,20151102181,,50.61,medium,22.46,green,rain,3.7,3,503,30,low,1,1,
02/11/15 19:00,1,26,20151102191,,31.23,medium,11.69,green,fog,26.7,1,876,19,low,0,0,
02/11/15 20:00,1,29,20151102201,,34.64,medium,97.49,green,rain,14.7,6,869,3,medium,1,0,
02/11/15 21:00,1,32,20151102211,,33.67,high,48.8,green,clear,25.7,4,716,21,medium,0,0,
02/11/15 22:00,1,30,20151102221,,48.56,low,89.71,red,fog,13.3,4,158,2,medium,1,1,
02/11/15 23:00,1,27,20151102231,,45.94,medium,28.21,yellow,clear,15,5,353,13,low,1,0,
03/11/15 0:00,1,21,20151103001,,14.36,medium,53.9,green,clear,1.5,1,406,6,high,0,0,
03/11/15 1:00,1,18,20151103011,,19.27,high,49.47,red,fog,36,3,486,44,low,0,0,
03/11/15 2:00,1,19,20151103021,,41.45,low,87.96,green,fog,18.7,6,532,47,medium,1,0,
03/11/15 3:00,1,13,20151103031,,47.64,medium,81.18,yellow,fog,10.4,4,628,3,high,1,1,
03/11/15 4:00,1,11,20151103041,,25.43,medium,24.94,green,rain,36.7,3,157,8,medium,1,0,
03/11/15 5:00,1,11,20151103051,,57.84,low,54.21,green,clear,13.2,4,391,25,medium,0,1,
03/11/15 6:00,1,11,20151103061,,57.52,high,92.63,red,clear,15.4,3,143,13,high,0,0,
03/11/15 7:00,1,14,20151103071,,23.92,high,29.1,red,rain,28.7,2,701,4,medium,1,0,
03/11/15 8:00,1,15,20151103081,,18.97,low,49.05,yellow,clear,19.5,5,174,4,medium,1,1,
03/11/15 9:00,1,29,20151103091,,22.05,low,60.3,yellow,clear,16.4,1,589,0,low,0,1,
03/11/15 10:00,1,33,20151103101,,27.36,medium,61.64,yellow,fog,36.6,6,978,18,low,0,1,
03/11/15 11:00,1,32,20151103111,,50.61,medium,22.46,green,rain,3.7,3,503,30,low,1,1,
03/11/15 12:00,1,32,20151103121,,31.23,medium,11.69,green,fog,26.7,1,876,19,low,0,0,
03/11/15 13:00,1,29,20151103131,,34.64,medium,97.49,green,rain,14.7,6,869,3,medium,1,0,
03/11/15 14:00,1,27,20151103141,,33.67,high,48.8,green,clear,25.7,4,716,21,medium,0,0,
03/11/15 15:00,1,26,20151103151,,48.56,low,89.71,red,fog,13.3,4,158,2,medium,1,1,
03/11/15 16:00,1,28,20151103161,,45.94,medium,28.21,yellow,clear,15,5,353,13,low,1,0,
03/11/15 17:00,1,26,20151103171,,14.36,medium,53.9,green,clear,1.5,1,406,6,high,0,0,
03/11/15 18:00,1,25,20151103181,,19.27,high,49.47,red,fog,36,3,486,44,low,0,0,
03/11/15 19:00,1,29,20151103191,,41.45,low,87.96,green,fog,18.7,6,532,47,medium,1,0,
03/11/15 20:00,1,26,20151103201,,47.64,medium,81.18,yellow,fog,10.4,4,628,3,high,1,1,
03/11/15 21:00,1,24,20151103211,,25.43,medium,24.94,green,rain,36.7,3,157,8,medium,1,0,
03/11/15 22:00,1,25,20151103221,,57.84,low,54.21,green,clear,13.2,4,391,25,medium,0,1,
03/11/15 23:00,1,20,20151103231,,57.52,high,92.63,red,clear,15.4,3,143,13,high,0,0,
04/11/15 0:00,1,18,20151104001,,23.92,high,29.1,red,rain,28.7,2,701,4,medium,1,0,
04/11/15 1:00,1,18,20151104011,,18.97,low,49.05,yellow,clear,19.5,5,174,4,medium,1,1,
04/11/15 2:00,1,13,20151104021,,22.05,low,60.3,yellow,clear,16.4,1,589,0,low,0,1,
04/11/15 3:00,1,13,20151104031,,27.36,medium,61.64,yellow,fog,36.6,6,978,18,low,0,1,
04/11/15 4:00,1,10,20151104041,,50.61,medium,22.46,green,rain,3.7,3,503,30,low,1,1,
04/11/15 5:00,1,12,20151104051,,31.23,medium,11.69,green,fog,26.7,1,876,19,low,0,0,
04/11/15 6:00,1,13,20151104061,,34.64,medium,97.49,green,rain,14.7,6,869,3,medium,1,0,
04/11/15 7:00,1,11,20151104071,,33.67,high,48.8,green,clear,25.7,4,716,21,medium,0,0,
04/11/15 8:00,1,13,20151104081,,48.56,low,89.71,red,fog,13.3,4,158,2,medium,1,1,
04/11/15 9:00,1,22,20151104091,,45.94,medium,28.21,yellow,clear,15,5,353,13,low,1,0,
04/11/15 10:00,1,26,20151104101,,14.36,medium,53.9,green,clear,1.5,1,406,6,high,0,0,
04/11/15 11:00,1,27,20151104111,,19.27,high,49.47,red,fog,36,3,486,44,low,0,0,
04/11/15 12:00,1,31,20151104121,,41.45,low,87.96,green,fog,18.7,6,532,47,medium,1,0,
04/11/15 13:00,1,24,20151104131,,47.64,medium,81.18,yellow,fog,10.4,4,628,3,high,1,1,
04/11/15 14:00,1,23,20151104141,,25.43,medium,24.94,green,rain,36.7,3,157,8,medium,1,0,
04/11/15 15:00,1,26,20151104151,,57.84,low,54.21,green,clear,13.2,4,391,25,medium,0,1,
04/11/15 16:00,1,26,20151104161,,57.52,high,92.63,red,clear,15.4,3,143,13,high,0,0,
04/11/15 17:00,1,24,20151104171,,23.92,high,29.1,red,rain,28.7,2,701,4,medium,1,0,
04/11/15 18:00,1,23,20151104181,,18.97,low,49.05,yellow,clear,19.5,5,174,4,medium,1,1,
04/11/15 19:00,1,25,20151104191,,22.05,low,60.3,yellow,clear,16.4,1,589,0,low,0,1,
04/11/15 20:00,1,26,20151104201,,27.36,medium,61.64,yellow,fog,36.6,6,978,18,low,0,1,
04/11/15 21:00,1,24,20151104211,,50.61,medium,22.46,green,rain,3.7,3,503,30,low,1,1,
04/11/15 22:00,1,26,20151104221,,31.23,medium,11.69,green,fog,26.7,1,876,19,low,0,0,
04/11/15 23:00,1,24,20151104231,,48.56,low,89.71,red,fog,13.3,4,158,2,medium,1,1,
05/11/15 0:00,1,19,20151105001,,45.94,medium,28.21,yellow,clear,15,5,353,13,low,1,0,
05/11/15 1:00,1,20,20151105011,,14.36,medium,53.9,green,clear,1.5,1,406,6,high,0,0,
05/11/15 2:00,1,18,20151105021,,19.27,high,49.47,red,fog,36,3,486,44,low,0,0,
05/11/15 3:00,1,13,20151105031,,41.45,low,87.96,green,fog,18.7,6,532,47,medium,1,0,
05/11/15 4:00,1,13,20151105041,,47.64,medium,81.18,yellow,fog,10.4,4,628,3,high,1,1,
05/11/15 5:00,1,9,20151105051,,25.43,medium,24.94,green,rain,36.7,3,157,8,medium,1,0,
05/11/15 6:00,1,12,20151105061,,57.84,low,54.21,green,clear,13.2,4,391,25,medium,0,1,
05/11/15 7:00,1,12,20151105071,,57.52,high,92.63,red,clear,15.4,3,143,13,high,0,0,
05/11/15 8:00,1,15,20151105081,,23.92,high,29.1,red,rain,28.7,2,701,4,medium,1,0,
05/11/15 9:00,1,16,20151105091,,18.97,low,49.05,yellow,clear,19.5,5,174,4,medium,1,1,
05/11/15 10:00,1,23,20151105101,,22.05,low,60.3,yellow,clear,16.4,1,589,0,low,0,1,
05/11/15 11:00,1,24,20151105111,,27.36,medium,61.64,yellow,fog,36.6,6,978,18,low,0,1,
05/11/15 12:00,1,25,20151105121,,50.61,medium,22.46,green,rain,3.7,3,503,30,low,1,1,
05/11/15 13:00,1,24,20151105131,,31.23,medium,11.69,green,fog,26.7,1,876,19,low,0,0,
05/11/15 14:00,1,26,20151105141,,34.64,medium,97.49,green,rain,14.7,6,869,3,medium,1,0,
05/11/15 15:00,1,22,20151105151,,33.67,high,48.8,green,clear,25.7,4,716,21,medium,0,0,
05/11/15 16:00,1,20,20151105161,,48.56,low,89.71,red,fog,13.3,4,158,2,medium,1,1,
05/11/15 17:00,1,20,20151105171,,45.94,medium,28.21,yellow,clear,15,5,353,13,low,1,0,
05/11/15 18:00,1,22,20151105181,,14.36,medium,53.9,green,clear,1.5,1,406,6,high,0,0,
05/11/15 19:00,1,26,20151105191,,19.27,high,49.47,red,fog,36,3,486,44,low,0,0,
05/11/15 20:00,1,22,20151105201,,41.45,low,87.96,green,fog,18.7,6,532,47,medium,1,0,
05/11/15 21:00,1,21,20151105211,,47.64,medium,81.18,yellow,fog,10.4,4,628,3,high,1,1,
05/11/15 22:00,1,21,20151105221,,25.43,medium,24.94,green,rain,36.7,3,157,8,medium,1,0,
05/11/15 23:00,1,21,20151105231,,57.84,low,54.21,green,clear,13.2,4,391,25,medium,0,1,
06/11/15 0:00,1,16,20151106001,,57.52,high,92.63,red,clear,15.4,3,143,13,high,0,0,
06/11/15 1:00,1,18,20151106011,,23.92,high,29.1,red,rain,28.7,2,701,4,medium,1,0,
06/11/15 2:00,1,19,20151106021,,18.97,low,49.05,yellow,clear,19.5,5,174,4,medium,1,1,
06/11/15 3:00,1,14,20151106031,,22.05,low,60.3,yellow,clear,16.4,1,589,0,low,0,1,
06/11/15 4:00,1,12,20151106041,,27.36,medium,61.64,yellow,fog,36.6,6,978,18,low,0,1,
06/11/15 5:00,1,13,20151106051,,50.61,medium,22.46,green,rain,3.7,3,503,30,low,1,1,
06/11/15 6:00,1,14,20151106061,,31.23,medium,11.69,green,fog,26.7,1,876,19,low,0,0,
06/11/15 7:00,1,14,20151106071,,10.13,medium,54.38,red,fog,25.6,5,374,15,high,0,1,
06/11/15 8:00,1,13,20151106081,,23.69,low,93.9,green,snow,21.1,1,192,21,medium,0,0,
06/11/15 9:00,1,20,20151106091,,12.99,medium,66.45,yellow,fog,37.8,6,214,10,medium,0,0,
06/11/15 10:00,1,22,20151106101,,33.47,low,87.88,green,clear,13.3,1,784,45,medium,0,0,
06/11/15 11:00,1,26,20151106111,,52.47,high,87.04,yellow,snow,17.8,3,937,38,high,0,0,
06/11/15 12:00,1,26,20151106121,,34.64,medium,97.49,green,rain,14.7,6,869,3,medium,1,0,
06/11/15 13:00,1,21,20151106131,,33.67,high,48.8,green,clear,25.7,4,716,21,medium,0,0,
06/11/15 14:00,1,23,20151106141,,48.56,low,89.71,red,fog,13.3,4,158,2,medium,1,1,
06/11/15 15:00,1,23,20151106151,,45.94,medium,28.21,yellow,clear,15,5,353,13,low,1,0,
06/11/15 16:00,1,19,20151106161,,14.36,medium,53.9,green,clear,1.5,1,406,6,high,0,0,
06/11/15 17:00,1,19,20151106171,,19.27,high,49.47,red,fog,36,3,486,44,low,0,0,
06/11/15 18:00,1,20,20151106181,,41.45,low,87.96,green,fog,18.7,6,532,47,medium,1,0,
06/11/15 19:00,1,24,20151106191,,47.64,medium,81.18,yellow,fog,10.4,4,628,3,high,1,1,
06/11/15 20:00,1,18,20151106201,,25.43,medium,24.94,green,rain,36.7,3,157,8,medium,1,0,
06/11/15 21:00,1,19,20151106211,,57.84,low,54.21,green,clear,13.2,4,391,25,medium,0,1,
06/11/15 22:00,1,16,20151106221,,57.52,high,92.63,red,clear,15.4,3,143,13,high,0,0,
06/11/15 23:00,1,17,20151106231,,23.92,high,29.1,red,rain,28.7,2,701,4,medium,1,0,
07/11/15 0:00,1,16,20151107001,,18.97,low,49.05,yellow,clear,19.5,5,174,4,medium,1,1,
07/11/15 1:00,1,16,20151107011,,22.05,low,60.3,yellow,clear,16.4,1,589,0,low,0,1,
07/11/15 2:00,1,10,20151107021,,27.36,medium,61.64,yellow,fog,36.6,6,978,18,low,0,1,
07/11/15 3:00,1,9,20151107031,,50.61,medium,22.46,green,rain,3.7,3,503,30,low,1,1,
07/11/15 4:00,1,8,20151107041,,31.23,medium,11.69,green,fog,26.7,1,876,19,low,0,0,
07/11/15 5:00,1,7,20151107051,,10.13,medium,54.38,red,fog,25.6,5,374,15,high,0,1,
07/11/15 6:00,1,9,20151107061,,23.69,low,93.9,green,snow,21.1,1,192,21,medium,0,0,
07/11/15 7:00,1,8,20151107071,,12.99,medium,66.45,yellow,fog,37.8,6,214,10,medium,0,0,
07/11/15 8:00,1,12,20151107081,,33.47,low,87.88,green,clear,13.3,1,784,45,medium,0,0,
07/11/15 9:00,1,13,20151107091,,52.47,high,87.04,yellow,snow,17.8,3,937,38,high,0,0,
07/11/15 10:00,1,17,20151107101,,34.64,medium,97.49,green,rain,14.7,6,869,3,medium,1,0,
07/11/15 11:00,1,14,20151107111,,33.67,high,48.8,green,clear,25.7,4,716,21,medium,0,0,
07/11/15 12:00,1,14,20151107121,,48.56,low,89.71,red,fog,13.3,4,158,2,medium,1,1,
07/11/15 13:00,1,14,20151107131,,45.94,medium,28.21,yellow,clear,15,5,353,13,low,1,0,
07/11/15 14:00,1,14,20151107141,,14.36,medium,53.9,green,clear,1.5,1,406,6,high,0,0,
07/11/15 15:00,1,11,20151107151,,19.27,high,49.47,red,fog,36,3,486,44,low,0,0,
07/11/15 16:00,1,15,20151107161,,41.45,low,87.96,green,fog,18.7,6,532,47,medium,1,0,
07/11/15 17:00,1,13,20151107171,,47.64,medium,81.18,yellow,fog,10.4,4,628,3,high,1,1,
07/11/15 18:00,1,12,20151107181,,25.43,medium,24.94,green,rain,36.7,3,157,8,medium,1,0,
07/11/15 19:00,1,17,20151107191,,57.84,low,54.21,green,clear,13.2,4,391,25,medium,0,1,
07/11/15 20:00,1,18,20151107201,,57.52,high,92.63,red,clear,15.4,3,143,13,high,0,0,
07/11/15 21:00,1,17,20151107211,,23.92,high,29.1,red,rain,28.7,2,701,4,medium,1,0,
07/11/15 22:00,1,16,20151107221,,18.97,low,49.05,yellow,clear,19.5,5,174,4,medium,1,1,
07/11/15 23:00,1,15,20151107231,,22.05,low,60.3,yellow,clear,16.4,1,589,0,low,0,1,
08/11/15 0:00,1,13,20151108001,,27.36,medium,61.64,yellow,fog,36.6,6,978,18,low,0,1,
08/11/15 1:00,1,16,20151108011,,50.61,medium,22.46,green,rain,3.7,3,503,30,low,1,1,
08/11/15 2:00,1,11,20151108021,,31.23,medium,11.69,green,fog,26.7,1,876,19,low,0,0,
08/11/15 3:00,1,8,20151108031,,34.64,medium,97.49,green,rain,14.7,6,869,3,medium,1,0,
08/11/15 4:00,1,10,20151108041,,33.67,high,48.8,green,clear,25.7,4,716,21,medium,0,0,
08/11/15 5:00,1,10,20151108051,,48.56,low,89.71,red,fog,13.3,4,158,2,medium,1,1,
08/11/15 6:00,1,10,20151108061,,45.94,medium,28.21,yellow,clear,15,5,353,13,low,1,0,
08/11/15 7:00,1,9,20151108071,,14.36,medium,53.9,green,clear,1.5,1,406,6,high,0,0,
08/11/15 8:00,1,11,20151108081,,19.27,high,49.47,red,fog,36,3,486,44,low,0,0,
08/11/15 9:00,1,12,20151108091,,41.45,low,87.96,green,fog,18.7,6,532,47,medium,1,0,
08/11/15 10:00,1,18,20151108101,,47.64,medium,81.18,yellow,fog,10.4,4,628,3,high,1,1,
08/11/15 11:00,1,14,20151108111,,25.43,medium,24.94,green,rain,36.7,3,157,8,medium,1,0,
08/11/15 12:00,1,17,20151108121,,57.84,low,54.21,green,clear,13.2,4,391,25,medium,0,1,
08/11/15 13:00,1,14,20151108131,,57.52,high,92.63,red,clear,15.4,3,143,13,high,0,0,
08/11/15 14:00,1,14,20151108141,,23.92,high,29.1,red,rain,28.7,2,701,4,medium,1,0,
08/11/15 15:00,1,14,20151108151,,18.97,low,49.05,yellow,clear,19.5,5,174,4,medium,1,1,
08/11/15 16:00,1,12,20151108161,,22.05,low,60.3,yellow,clear,16.4,1,589,0,low,0,1,
08/11/15 17:00,1,14,20151108171,,27.36,medium,61.64,yellow,fog,36.6,6,978,18,low,0,1,
08/11/15 18:00,1,18,20151108181,,50.61,medium,22.46,green,rain,3.7,3,503,30,low,1,1,
08/11/15 19:00,1,13,20151108191,,31.23,medium,11.69,green,fog,26.7,1,876,19,low,0,0,
08/11/15 20:00,1,16,20151108201,,34.64,medium,97.49,green,rain,14.7,6,869,3,medium,1,0,
08/11/15 21:00,1,18,20151108211,,33.67,high,48.8,green,clear,25.7,4,716,21,medium,0,0,
08/11/15 22:00,1,14,20151108221,,48.56,low,89.71,red,fog,13.3,4,158,2,medium,1,1,
08/11/15 23:00,1,14,20151108231,,45.94,medium,28.21,yellow,clear,15,5,353,13,low,1,0,
09/11/15 0:00,1,13,20151109001,,14.36,medium,53.9,green,clear,1.5,1,406,6,high,0,0,
09/11/15 1:00,1,15,20151109011,,19.27,high,49.47,red,fog,36,3,486,44,low,0,0,
09/11/15 2:00,1,11,20151109021,,41.45,low,87.96,green,fog,18.7,6,532,47,medium,1,0,
09/11/15 3:00,1,10,20151109031,,47.64,medium,81.18,yellow,fog,10.4,4,628,3,high,1,1,
09/11/15 4:00,1,9,20151109041,,25.43,medium,24.94,green,rain,36.7,3,157,8,medium,1,0,
09/11/15 5:00,1,8,20151109051,,57.84,low,54.21,green,clear,13.2,4,391,25,medium,0,1,
09/11/15 6:00,1,8,20151109061,,57.52,high,92.63,red,clear,15.4,3,143,13,high,0,0,
09/11/15 7:00,1,10,20151109071,,23.92,high,29.1,red,rain,28.7,2,701,4,medium,1,0,
09/11/15 8:00,1,11,20151109081,,18.97,low,49.05,yellow,clear,19.5,5,174,4,medium,1,1,
09/11/15 9:00,1,17,20151109091,,22.05,low,60.3,yellow,clear,16.4,1,589,0,low,0,1,
09/11/15 10:00,1,19,20151109101,,27.36,medium,61.64,yellow,fog,36.6,6,978,18,low,0,1,
09/11/15 11:00,1,22,20151109111,,50.61,medium,22.46,green,rain,3.7,3,503,30,low,1,1,
09/11/15 12:00,1,23,20151109121,,31.23,medium,11.69,green,fog,26.7,1,876,19,low,0,0,
09/11/15 13:00,1,23,20151109131,,34.64,medium,97.49,green,rain,14.7,6,869,3,medium,1,0,
09/11/15 14:00,1,24,20151109141,,33.67,high,48.8,green,clear,25.7,4,716,21,medium,0,0,
09/11/15 15:00,1,24,20151109151,,48.56,low,89.71,red,fog,13.3,4,158,2,medium,1,1,
09/11/15 16:00,1,19,20151109161,,45.94,medium,28.21,yellow,clear,15,5,353,13,low,1,0,
09/11/15 17:00,1,19,20151109171,,14.36,medium,53.9,green,clear,1.5,1,406,6,high,0,0,
09/11/15 18:00,1,20,20151109181,,19.27,high,49.47,red,fog,36,3,486,44,low,0,0,
09/11/15 19:00,1,31,20151109191,,41.45,low,87.96,green,fog,18.7,6,532,47,medium,1,0,
09/11/15 20:00,1,25,20151109201,,47.64,medium,81.18,yellow,fog,10.4,4,628,3,high,1,1,
09/11/15 21:00,1,35,20151109211,,25.43,medium,24.94,green,rain,36.7,3,157,8,medium,1,0,
09/11/15 22:00,1,21,20151109221,,57.84,low,54.21,green,clear,13.2,4,391,25,medium,0,1,
09/11/15 23:00,1,24,20151109231,,57.52,high,92.63,red,clear,15.4,3,143,13,high,0,0,
10/11/15 0:00,1,19,20151110001,,23.92,high,29.1,red,rain,28.7,2,701,4,medium,1,0,
10/11/15 1:00,1,19,20151110011,,18.97,low,49.05,yellow,clear,19.5,5,174,4,medium,1,1,
10/11/15 2:00,1,18,20151110021,,22.05,low,60.3,yellow,clear,16.4,1,589,0,low,0,1,
10/11/15 3:00,1,17,20151110031,,27.36,medium,61.64,yellow,fog,36.6,6,978,18,low,0,1,
10/11/15 4:00,1,12,20151110041,,50.61,medium,22.46,green,rain,3.7,3,503,30,low,1,1,
10/11/15 5:00,1,10,20151110051,,31.23,medium,11.69,green,fog,26.7,1,876,19,low,0,0,
10/11/15 6:00,1,14,20151110061,,48.56,low,89.71,red,fog,13.3,4,158,2,medium,1,1,
10/11/15 7:00,1,15,20151110071,,45.94,medium,28.21,yellow,clear,15,5,353,13,low,1,0,
10/11/15 8:00,1,14,20151110081,,14.36,medium,53.9,green,clear,1.5,1,406,6,high,0,0,
10/11/15 9:00,1,34,20151110091,,19.27,high,49.47,red,fog,36,3,486,44,low,0,0,
10/11/15 10:00,1,40,20151110101,,41.45,low,87.96,green,fog,18.7,6,532,47,medium,1,0,
10/11/15 11:00,1,38,20151110111,,47.64,medium,81.18,yellow,fog,10.4,4,628,3,high,1,1,
10/11/15 12:00,1,36,20151110121,,25.43,medium,24.94,green,rain,36.7,3,157,8,medium,1,0,
10/11/15 13:00,1,27,20151110131,,57.84,low,54.21,green,clear,13.2,4,391,25,medium,0,1,
10/11/15 14:00,1,48,20151110141,,57.52,high,92.63,red,clear,15.4,3,143,13,high,0,0,
10/11/15 15:00,1,43,20151110151,,23.92,high,29.1,red,rain,28.7,2,701,4,medium,1,0,
10/11/15 16:00,1,41,20151110161,,18.97,low,49.05,yellow,clear,19.5,5,174,4,medium,1,1,
10/11/15 17:00,1,35,20151110171,,22.05,low,60.3,yellow,clear,16.4,1,589,0,low,0,1,
10/11/15 18:00,1,40,20151110181,,27.36,medium,61.64,yellow,fog,36.6,6,978,18,low,0,1,
10/11/15 19:00,1,40,20151110191,,50.61,medium,22.46,green,rain,3.7,3,503,30,low,1,1,
10/11/15 20:00,1,40,20151110201,,31.23,medium,11.69,green,fog,26.7,1,876,19,low,0,0,
10/11/15 21:00,1,36,20151110211,,34.64,medium,97.49,green,rain,14.7,6,869,3,medium,1,0,
10/11/15 22:00,1,37,20151110221,,33.67,high,48.8,green,clear,25.7,4,716,21,medium,0,0,
10/11/15 23:00,1,35,20151110231,,48.56,low,89.71,red,fog,13.3,4,158,2,medium,1,1,
11/11/15 0:00,1,28,20151111001,,45.94,medium,28.21,yellow,clear,15,5,353,13,low,1,0,
11/11/15 1:00,1,25,20151111011,,14.36,medium,53.9,green,clear,1.5,1,406,6,high,0,0,
11/11/15 2:00,1,19,20151111021,,19.27,high,49.47,red,fog,36,3,486,44,low,0,0,
11/11/15 3:00,1,21,20151111031,,41.45,low,87.96,green,fog,18.7,6,532,47,medium,1,0,
11/11/15 4:00,1,20,20151111041,,47.64,medium,81.18,yellow,fog,10.4,4,628,3,high,1,1,
11/11/15 5:00,1,15,20151111051,,25.43,medium,24.94,green,rain,36.7,3,157,8,medium,1,0,
11/11/15 6:00,1,17,20151111061,,57.84,low,54.21,green,clear,13.2,4,391,25,medium,0,1,
11/11/15 7:00,1,14,20151111071,,57.52,high,92.63,red,clear,15.4,3,143,13,high,0,0,
11/11/15 8:00,1,19,20151111081,,23.92,high,29.1,red,rain,28.7,2,701,4,medium,1,0,
11/11/15 9:00,1,22,20151111091,,18.97,low,49.05,yellow,clear,19.5,5,174,4,medium,1,1,
11/11/15 10:00,1,30,20151111101,,22.05,low,60.3,yellow,clear,16.4,1,589,0,low,0,1,
11/11/15 11:00,1,26,20151111111,,27.36,medium,61.64,yellow,fog,36.6,6,978,18,low,0,1,
11/11/15 12:00,1,26,20151111121,,50.61,medium,22.46,green,rain,3.7,3,503,30,low,1,1,
11/11/15 13:00,1,23,20151111131,,31.23,medium,11.69,green,fog,26.7,1,876,19,low,0,0,
11/11/15 14:00,1,23,20151111141,,10.13,medium,54.38,red,fog,25.6,5,374,15,high,0,1,
11/11/15 15:00,1,24,20151111151,,23.69,low,93.9,green,snow,21.1,1,192,21,medium,0,0,
11/11/15 16:00,1,22,20151111161,,12.99,medium,66.45,yellow,fog,37.8,6,214,10,medium,0,0,
11/11/15 17:00,1,24,20151111171,,33.47,low,87.88,green,clear,13.3,1,784,45,medium,0,0,
